t_s,alpha_deg,q_deg_s,theta_deg,delta_e_deg
0.626,4.6260749452237455,23.10596155805943,11.504519210064565,-5.0
0.628,4.621780088245577,23.02582421007525,11.550650774341037,-5.0
0.63,4.617384923987261,22.947017158511766,11.596623393800355,-5.0
0.632,4.6128931636318935,22.869542631659474,11.64243973135551,-5.0
0.634,4.60830847832627,22.793402311963206,11.688102453828462,-5.0
0.636,4.6036344986262145,22.71859734661087,11.733614230869035,-5.0
0.638,4.598874813968546,22.645128358105385,11.778977733894992,-5.0
0.64,4.594032972169325,22.57299545481619,11.824195635053204,-5.0
0.642,4.589112478948034,22.502198241506797,11.86927060620193,-5.0
0.644,4.584116797477337,22.432735829834936,11.914205317914094,-5.0
0.646,4.57904934795806,22.36460684882191,11.959002438501564,-5.0
0.648,4.573913507219031,22.297809455287844,12.003664633060312,-5.0
0.65,4.568712608341424,22.232341344249654,12.048194562536414,-5.0
0.652,4.563449940307238,22.168199759278554,12.092594882812815,-5.0
0.654,4.558128747671557,22.105381502814097,12.136868243816755,-5.0
0.656,4.552752230258208,22.043882946431722,12.181017288647778,-5.0
0.658,4.547323542878474,21.983700041060935,12.225044652726242,-5.0
0.66,4.541845795072467,21.92482832715132,12.268952962962185,-5.0
0.662,4.536322050872813,21.86726294478361,12.312744836944505,-5.0
0.664,4.5307553285902715,21.810998643723146,12.356422882150264,-5.0
0.666,4.52514860062092,21.75602979341318,12.399989695174083,-5.0
0.668,4.519504793274524,21.702350392905473,12.443447860977422,-5.0
0.67,4.513826786623742,21.64995408072574,12.48679995215768,-5.0
0.672,4.508117414373767,21.59883414467163,12.530048528236955,-5.0
0.674,4.502379463752062,21.548983531540884,12.573196134970326,-5.0
0.676,4.496615675417789,21.500394856787512,12.616245303673512,-5.0
0.678,4.490828743390585,21.453060414103827,12.659198550569798,-5.0
0.68,4.485021314998305,21.40697218492624,12.702058376156016,-5.0
0.682,4.479195990843346,21.36212184786284,12.744827264587476,-5.0
0.684,4.4733553247872155,21.318500788040865,12.787507683081675,-5.0
0.686,4.467501823952948,21.276100106372088,12.83010208134061,-5.0
0.6880000000000001,4.461637948745011,21.234910628734482,12.872612890991544,-5.0
0.6900000000000001,4.455766112886335,21.194922915068307,12.915042525046053,-5.0
0.6920000000000001,4.449888683472099,21.156127268385053,12.957393377377166,-5.0
0.6940000000000001,4.444007981039912,21.118513743687572,12.99966782221445,-5.0
0.6960000000000001,4.4381262796560135,21.08207215679999,13.041868213656834,-5.0
0.6980000000000001,4.4322458070171535,21.046792093105793,13.083996885203007,-5.0
0.7000000000000001,4.4263687445677675,21.012662916192827,13.126056149299195,-5.0
0.7020000000000001,4.420497227632108,20.979673776403814,13.16804829690414,-5.0
0.704,4.4146333455609605,20.947813619291104,13.209975597071073,-5.0
0.706,4.4087791418926,20.917071193974543,13.251840296546519,-5.0
0.708,4.40293661452763,20.887435061401185,13.293644619385695,-5.0
0.71,4.397107715917351,20.85889360250589,13.335390766584352,-5.0
0.712,4.391294353265316,20.83143502627172,13.377080915726824,-5.0
0.714,4.38549838874172,20.805047377689135,13.418717220650098,-5.0
0.716,4.3797216397102785,20.77971854561319,13.46030181112371,-5.0
0.718,4.373965878967268,20.75543627051775,13.501836792545236,-5.0
0.72,4.368232834992362,20.73218815214605,13.543324245651206,-5.0
0.722,4.362524192210956,20.709961657056777,13.584766226243202,-5.0
0.724,4.356841591267619,20.68874412606501,13.626164764928948,-5.0
0.726,4.351186629310362,20.66852278157742,13.667521866878177,-5.0
0.728,4.345560860285381,20.64928473482111,13.708839511593057,-5.0
0.73,4.339965795241959,20.631016992965584,13.75011965269298,-5.0
0.732,4.334402902647188,20.613706466137387,13.79136421771347,-5.0
0.734,4.328873608710217,20.597339974326932,13.832575107919027,-5.0
0.736,4.323379297715672,20.581904254187236,13.873754198129667,-5.0
0.738,4.317921312365974,20.567385965724124,13.914903336560966,-5.0
0.74,4.312500954132214,20.55377169887771,13.956024344677354,-5.0
0.742,4.30711948361329,20.541047979994882,13.997119017058475,-5.0
0.744,4.301778120903001,20.529201278192588,14.038189121278393,-5.0
0.746,4.296478045964794,20.518218011611808,14.079236397797388,-5.0
0.748,4.291220399013868,20.50808455356212,14.120262559866184,-5.0
0.75,4.286006280906341,20.498787238556755,14.161269293442324,-5.0
0.752,4.28083675353518,20.490312368238172,14.202258257118531,-5.0
0.754,4.275712840232623,20.48264621719418,14.243231082062803,-5.0
0.756,4.270635526178799,20.47577503866463,14.284189371970013,-5.0
0.758,4.265605758816255,20.469685070138837,14.325134703024853,-5.0
0.76,4.260624448270134,20.46436253884384,14.366068623875812,-5.0
0.762,4.25569246777372,20.45979366712373,14.40699265562007,-5.0
0.764,4.25081065409907,20.45596467771019,14.447908291799012,-5.0
0.766,4.245979807992489,20.452861798884573,14.488816998404186,-5.0
0.768,4.24120069461456,20.450471269531825,14.529720213893471,-5.0
0.77,4.236474043984496,20.448779344086468,14.570619349217253,-5.0
0.772,4.2318005514285355,20.44777229737115,14.611515787854373,-5.0
0.774,4.227180878032142,20.447436429328043,14.652410885857659,-5.0
0.776,4.222615651095761,20.447758069643594,14.693305971908808,-5.0
0.778,4.218105464593883,20.448723582267007,14.73420234738241,-5.0
0.78,4.21365087963718,20.45031936982303,14.775101286418897,-5.0
0.782,4.209252424937468,20.452531877919498,14.816004036006225,-5.0
0.784,4.20491059727528,20.455347599350205,14.85691181607006,-5.0
